Isolate,mdf(A) ,mph(A,fosA,fosA7,sul1,sul2,tet(A),tet(B),aac(3)-Via,aadA1,aadA5,aph(3')-Ia,aph(3'')-Ib,aph(6)-Id,blaTEM-1B,catA1,dfrA8,dfrA17,"Nalidixic acid,Ciprofloxacin","Erythromycin,Azithromycin,Telithromycin"
25964_1#160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#176,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0
25964_1#183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#232,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
25964_1#238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25964_1#239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#247,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#264,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
25964_1#273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#99,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
27970_1#122,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0
27970_1#156,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0
27970_1#188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27970_1#250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
