Isolate,Order,Genus,Spieces,aaiC,aap,aar,aatA,agg,ailA,air,astA,capU,cba,cdtB,celb,cif,cma,cnf1,eae,efa1,ehxA,eilA,esp,etpD,f17,gad,iha,IpfA,ireA,iroN,iss,katP,ltcA,mch,mcmA,nle,pic,sat,senB,sepA,sfaS,stx,tccP,tir,vat
24742_1#27,Carnivora,Canis,Canis familiaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#28,Rodentia,Peromyscus,Peromyscus boylii,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,1,1
24742_1#295,Lagomorpha,Romerolagus,Romerolagus diazi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#298,Rodentia,Heteromys,Liomys pictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#299,Artiodactyla,Ovis,Ovis aries,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#30,Perissodactyla,Tapirus,Tapirus bairdii,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#305,Cingulata,Dasypus,Dasypus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#306,Artiodactyla,Odocoileus,Odocoeileus virginianus,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#307,Primates,Homo,Homo sapiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#308,Artiodactyla,Odocoileus,Odocoeileus virginianus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#309,Carnivora,Canis,Canis latrans,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0
24742_1#31,Carnivora,Urocyon,Urocyon cinereoargenteus,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#310,Didelphimorphia,Tlacuatzin,Marmosa camescens,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#311,Chiroptera,Leptonycteris,Leptonycteris nivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#312,Lagomorpha,Oryctolagus,Oryctolagus cuniculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#313,Chiroptera,Leptonycteris,Leptonycteris nivalis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
24742_1#314,Carnivora,Nasua,Nasua narica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#315,Artiodactyla,Ovis,Ovis aries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24742_1#316,Carnivora,Nasua,Nasua narica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#317,Rodentia,Heteromys,Liomys pictus,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#34,Rodentia,Peromyscus,Peromyscus boylii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#35,Rodentia,Sigmodon,Sigmodon mascotensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24742_1#36,Perissodactyla,Tapirus,Tapirus bairdii,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#37,Carnivora,Urocyon,Urocyon cinereoargenteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#41,Rodentia,Peromyscus,Peromyscus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#42,Suliformes,Sula,Sula nebouxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#43,Perissodactyla,Tapirus,Tapirus terrestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#44,Artiodactyla,Bos,Bos taurus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#48,Cingulata,Dasypus,Dasypus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
24742_1#49,Rodentia,Heteromys,Liomys pictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
