Sample ID,Number of contigs,N50 value,Number of total reads,% of reads Unclassified,% of reads Escherichia.coli,Continet of isolation,Country of isolation,Host spieces,DataBase,Date of isolation,Ampicillin,Cefotaxime,Ceftazidime,Cefuroxime,Cephalothin,Ciprofloxacin,Gentamycin,Tobramycin,Trimethoprim
24742_1#79,85,12,775035,2.4,49.84,North America,Mexico,Liomys pictus ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#80,345,5,695922,7.89,6.28,North America,Mexico,Calothorax lucifer,Souza,1999,R,S,S,S,R,S,S,S,S
24742_1#81,29,3,908637,20.19,3.2,North America,Mexico,Carollia brevicauda ,Souza,1999,R,S,R,S,R,S,S,S,S
24742_1#82,37,4,746691,3.93,45.51,North America,Mexico,Dipodomys merriami ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#83,65,11,745641,0.82,56.89,North America,Mexico,Habromys sp.,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#84,86,11,769012,2.29,49.75,North America,Mexico,Liomys pictus ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#85,49,7,781867,0.89,57.75,NF,NF,Choeronycteris mexicana ,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#86,44,4,756466,3.5,45.61,North America,Mexico,Dipodomys merriami ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#87,32,6,702360,27.69,1.19,NF,NF,Neotoma albigula ,Souza,1999,R,S,R,R,R,S,S,S,S
24742_1#88,247,16,676814,0.64,56.17,NF,NF,Ovis aries ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#100,24,2,1184430,19.58,1.32,North America,Mexico,Carollia brevicauda ,Souza,1999,R,S,R,S,R,S,S,S,S
25964_1#101,226,34,1142746,1.53,33.78,North America,Mexico,Equus ferus,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#102,52,9,1166667,0.77,57.93,North America,Mexico,Habromys sp.,Souza,1999,S,S,S,S,S,S,S,R,S
25964_1#103,814,10,1233584,1.82,57.42,North America,Mexico,Homo sapiens,Souza,1999,R,S,R,S,S,S,S,S,S
25964_1#104,36,5,1001467,3.1,84.93,North America,Mexico,Alouatta palliata,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#108,76,9,1166153,3.69,48.87,North America,Mexico,Desmodus rotundus,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#112,27,4,1268896,2.58,85.61,North America,Mexico,Alouatta palliata,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#115,98,9,1097741,1.44,69.46,North America,Mexico,Canis latrans,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#116,40,4,1214339,0.81,60.25,North America,Mexico,Didelphis virginiana ,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#118,39,3,1153439,3.55,81.05,North America,Mexico,Henicorhina leucophrys,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#119,64,8,1281220,0.76,60.76,North America,Mexico,Homo sapiens,Souza,1999,R,S,S,S,S,S,S,S,R
25964_1#120,83,6,1059630,7.53,83.05,North America,Costa Rica,Alouatta palliata,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#127,45,6,1192893,1.08,51.33,South America,Venezuela,Hydrochaeris hydrochaeris ,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#135,32,4,1190296,1.19,48.43,North America,Mexico,Lutra longicaudis,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#151,28,3,1343512,1.36,53.14,North America,Mexico,Lutra longicaudis ,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#152,39,4,1147747,1.94,85.72,North America,Mexico,Aquila chrysaetus,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#159,52,6,1053566,1.21,49.78,North America,Mexico,Lutra longicaudis ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#160,198,8,1023648,1.99,54.14,North America,Mexico,Aratinga canicularis,Souza,1999,R,S,S,S,S,S,S,S,S
