Isolate,Genus,Order,mdf(A) ,mph(A,fosA,fosA7,sul1,sul2,tet(A),tet(B),aac(3)-Via,aadA1,aadA5,aph(3')-Ia,aph(3'')-Ib,aph(6)-Id,blaTEM-1B,catA1,dfrA8,dfrA17,"Nalidixic acid,Ciprofloxacin","Erythromycin,Azithromycin,Telithromycin"
24742_1#70,Didelphis,Didelphimorphia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#71,Puma,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#73,Oryzomys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24742_1#74,Puma,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#75,Mus,Rodentia,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
24742_1#76,Oryzomys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#78,Gallus,Galliformes,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0
24742_1#79,Heteromys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#82,Dipodomys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#83,Habromys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#84,Heteromys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#85,Choeronycteris,Chiroptera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#86,Dipodomys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#88,Ovis,Artiodactyla,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
25964_1#102,Habromys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#103,Homo,Primates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#104,Alouatta,Primates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#108,Desmodus,Chiroptera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#112,Alouatta,Primates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#115,Canis,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#116,Didelphis,Didelphimorphia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#118,Henicorhina,Passeriformes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25964_1#119,Homo,Primates,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0
25964_1#120,Alouatta,Primates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#127,Hydrochoerus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#135,Lontra,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#151,Lontra,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#152,Aquila,Accipitriformes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#159,Lontra,Carnivora,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#160,Eupsittula,Psittaciformes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#176,Eupsittula,Psittaciformes,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0
25964_1#183,Nyctomys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#184,Artibeus,Chiroptera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#191,Odocoileus,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#192,Romerolagus,Lagomorpha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#193,Tursiops,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#199,Ovis,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#200,Sylvilagus,Lagomorpha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#207,Panthera,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#231,Perognathus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#232,Tamandua,Pilosa,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
